iter	Passed	Remaining
0	146	146515
1	148	74115
2	150	49969
3	152	37861
4	153	30603
5	154	25668
6	155	22103
7	156	19411
8	157	17314
9	158	15644
10	159	14296
11	159	13151
12	160	12177
13	161	11342
14	161	10619
15	162	9984
16	162	9424
17	163	8929
18	164	8485
19	164	8084
20	165	7723
21	166	7396
22	167	7095
23	167	6818
24	168	6564
25	168	6329
26	169	6112
27	170	5911
28	170	5722
29	171	5548
30	172	5384
31	172	5229
32	173	5084
33	174	4948
34	174	4819
35	175	4697
36	176	4582
37	176	4473
38	177	4369
39	178	4272
40	178	4179
41	179	4090
42	179	4005
43	180	3925
44	181	3848
45	181	3773
46	182	3702
47	183	3634
48	183	3569
49	184	3505
50	185	3445
51	185	3390
52	186	3338
53	187	3286
54	188	3234
55	188	3184
56	189	3137
57	190	3093
58	191	3050
59	192	3008
60	192	2968
61	193	2929
62	194	2891
63	195	2853
64	195	2818
65	196	2783
66	197	2749
67	197	2712
68	198	2680
69	199	2649
70	200	2621
71	201	2591
72	201	2563
73	202	2536
74	203	2509
75	204	2483
76	205	2457
77	205	2431
78	206	2408
79	207	2383
80	207	2359
81	208	2335
82	209	2311
83	209	2288
84	210	2264
85	210	2242
86	211	2218
87	212	2198
88	212	2177
89	213	2157
90	214	2138
91	214	2119
92	215	2100
93	216	2082
94	216	2063
95	217	2046
96	217	2028
97	218	2011
98	219	1995
99	220	1980
100	220	1963
101	220	1945
102	221	1930
103	222	1914
104	222	1900
105	223	1886
106	224	1872
107	224	1858
108	225	1844
109	226	1831
110	226	1817
111	227	1804
112	228	1793
113	229	1782
114	230	1771
115	230	1759
116	231	1749
117	232	1739
118	233	1726
119	233	1714
120	234	1703
121	235	1692
122	235	1678
123	236	1667
124	236	1657
125	237	1646
126	238	1636
127	238	1624
128	239	1614
129	239	1604
130	240	1594
131	240	1584
132	241	1575
133	242	1566
134	243	1557
135	243	1547
136	244	1539
137	244	1529
138	245	1520
139	246	1512
140	246	1503
141	247	1495
142	248	1487
143	248	1479
144	249	1473
145	250	1465
146	251	1457
147	251	1449
148	252	1441
149	253	1433
150	253	1426
151	254	1418
152	254	1411
153	255	1404
154	256	1397
155	256	1390
156	257	1383
157	258	1376
158	258	1369
159	259	1362
160	260	1356
161	260	1349
162	261	1342
163	262	1336
164	262	1329
165	263	1323
166	264	1317
167	264	1310
168	265	1304
169	266	1298
170	266	1292
171	267	1286
172	267	1280
173	268	1275
174	269	1269
175	269	1263
176	271	1262
177	272	1258
178	273	1253
179	274	1248
180	274	1242
181	275	1237
182	276	1233
183	276	1228
184	277	1222
185	278	1217
186	278	1212
187	279	1207
188	280	1201
189	280	1196
190	281	1191
191	282	1186
192	282	1181
193	283	1176
194	283	1172
195	284	1168
196	285	1165
197	286	1160
198	287	1155
199	287	1151
200	288	1146
201	289	1142
202	289	1137
203	290	1133
204	291	1128
205	291	1124
206	292	1119
207	292	1115
208	293	1111
209	294	1106
210	294	1102
211	295	1098
212	296	1094
213	296	1090
214	297	1085
215	298	1081
216	299	1079
217	299	1075
218	300	1071
219	301	1067
220	301	1063
221	302	1059
222	303	1055
223	303	1051
224	304	1048
225	304	1044
226	305	1040
227	306	1036
228	306	1033
229	307	1029
230	308	1025
231	308	1022
232	309	1018
233	310	1015
234	310	1011
235	311	1008
236	312	1004
237	312	1001
238	313	998
239	314	995
240	315	992
241	315	989
242	316	987
243	317	984
244	318	982
245	319	979
246	320	976
247	320	973
248	321	969
249	322	966
250	322	963
251	323	960
252	324	956
253	324	953
254	325	950
255	325	947
256	326	944
257	327	941
258	327	938
259	328	935
260	329	931
261	329	928
262	330	925
263	331	923
264	331	920
265	332	917
266	333	914
267	333	911
268	334	908
269	334	905
270	335	902
271	336	899
272	336	896
273	337	894
274	338	891
275	338	888
276	339	886
277	340	884
278	341	881
279	341	879
280	342	876
281	343	873
282	343	870
283	344	868
284	345	865
285	345	862
286	346	860
287	346	857
288	347	855
289	348	852
290	348	849
291	349	847
292	350	844
293	350	842
294	351	839
295	352	837
296	352	834
297	353	832
298	354	829
299	354	827
300	355	825
301	355	822
302	356	820
303	357	817
304	357	815
305	358	813
306	359	810
307	359	808
308	360	806
309	361	803
310	361	801
311	362	799
312	363	796
313	363	794
314	364	792
315	364	789
316	365	787
317	366	785
318	366	783
319	367	780
320	368	778
321	368	776
322	369	774
323	370	771
324	370	769
325	371	767
326	371	765
327	372	763
328	373	761
329	373	759
330	374	756
331	375	754
332	375	752
333	376	750
334	377	748
335	377	746
336	378	744
337	379	742
338	379	740
339	380	738
340	381	736
341	381	734
342	382	732
343	382	730
344	383	728
345	384	726
346	384	724
347	385	722
348	386	720
349	386	718
350	387	716
351	388	714
352	388	712
353	389	710
354	389	708
355	390	706
356	391	704
357	391	702
358	392	700
359	393	699
360	393	697
361	394	695
362	395	693
363	395	691
364	396	689
365	397	687
366	397	686
367	398	684
368	399	682
369	399	680
370	400	679
371	401	677
372	401	675
373	402	673
374	403	671
375	403	670
376	404	668
377	405	666
378	405	664
379	406	663
380	407	661
381	407	659
382	408	657
383	408	655
384	409	654
385	410	652
386	410	650
387	411	649
388	412	647
389	413	646
390	414	645
391	415	643
392	415	642
393	416	641
394	417	639
395	418	638
396	419	637
397	420	635
398	420	633
399	421	632
400	422	630
401	422	628
402	423	627
403	424	625
404	424	624
405	425	622
406	426	620
407	426	619
408	427	617
409	427	615
410	428	614
411	429	612
412	430	611
413	430	609
414	431	608
415	432	606
416	432	605
417	433	603
418	434	602
419	434	600
420	435	598
421	436	597
422	436	595
423	437	594
424	438	592
425	438	591
426	439	589
427	440	588
428	440	586
429	441	585
430	441	583
431	442	582
432	443	580
433	443	578
434	444	577
435	445	575
436	445	574
437	446	572
438	447	571
439	447	569
440	448	568
441	449	566
442	449	565
443	450	563
444	450	562
445	451	560
446	452	559
447	452	557
448	453	556
449	454	555
450	455	554
451	456	553
452	457	552
453	457	550
454	458	549
455	459	547
456	459	546
457	460	544
458	461	543
459	461	541
460	462	540
461	462	539
462	463	537
463	464	536
464	464	534
465	465	533
466	466	532
467	466	530
468	467	529
469	468	527
470	468	526
471	469	525
472	470	523
473	470	522
474	471	520
475	472	519
476	472	518
477	473	516
478	473	515
479	474	514
480	475	512
481	475	511
482	476	510
483	477	508
484	477	507
485	478	506
486	479	504
487	479	503
488	480	502
489	481	500
490	481	499
491	482	498
492	484	497
493	484	496
494	485	495
495	486	494
496	486	492
497	487	491
498	488	490
499	488	488
500	489	487
501	490	486
502	490	484
503	491	483
504	492	482
505	492	481
506	493	479
507	494	478
508	494	477
509	495	475
510	495	474
511	496	473
512	497	472
513	498	470
514	498	469
515	499	468
516	500	467
517	500	465
518	501	464
519	502	463
520	502	462
521	503	460
522	503	459
523	504	458
524	505	457
525	505	455
526	506	454
527	507	453
528	507	452
529	508	450
530	508	449
531	509	448
532	510	447
533	511	446
534	511	444
535	512	443
536	513	442
537	513	441
538	514	439
539	514	438
540	515	437
541	516	436
542	516	434
543	517	433
544	518	432
545	518	431
546	519	430
547	520	428
548	520	427
549	521	426
550	522	425
551	522	424
552	523	423
553	523	421
554	524	420
555	525	419
556	526	418
557	526	417
558	527	415
559	527	414
560	528	413
561	529	412
562	529	411
563	530	410
564	531	408
565	531	407
566	532	406
567	533	405
568	533	404
569	534	403
570	534	401
571	535	400
572	536	399
573	536	398
574	537	397
575	538	396
576	539	395
577	540	394
578	540	393
579	541	392
580	542	391
581	543	390
582	543	388
583	544	387
584	544	386
585	545	385
586	546	384
587	546	383
588	547	382
589	548	380
590	548	379
591	549	378
592	550	377
593	550	376
594	551	375
595	552	374
596	552	373
597	553	372
598	554	370
599	554	369
600	555	368
601	556	367
602	556	366
603	557	365
604	557	364
605	558	363
606	559	362
607	559	361
608	560	359
609	561	358
610	561	357
611	562	356
612	563	355
613	563	354
614	564	353
615	564	352
616	565	351
617	566	350
618	567	349
619	567	347
620	568	346
621	569	345
622	569	344
623	570	343
624	570	342
625	571	341
626	572	340
627	572	339
628	573	338
629	573	337
630	574	336
631	575	334
632	575	333
633	576	332
634	577	331
635	577	330
636	578	329
637	579	328
638	579	327
639	580	326
640	581	325
641	581	324
642	582	323
643	583	322
644	583	321
645	584	320
646	584	319
647	585	318
648	586	317
649	586	316
650	587	314
651	588	313
652	588	312
653	589	311
654	590	310
655	590	309
656	591	308
657	591	307
658	592	306
659	593	305
660	593	304
661	594	303
662	595	302
663	596	301
664	596	300
665	597	299
666	598	298
667	598	297
668	599	296
669	600	295
670	600	294
671	601	293
672	602	292
673	602	291
674	603	290
675	604	289
676	604	288
677	605	287
678	606	286
679	606	285
680	607	284
681	608	283
682	608	282
683	609	281
684	610	280
685	610	279
686	611	278
687	612	277
688	613	276
689	613	275
690	614	274
691	615	273
692	615	272
693	616	271
694	617	270
695	618	269
696	618	268
697	619	267
698	620	267
699	620	266
700	621	265
701	622	264
702	622	263
703	623	262
704	623	261
705	624	259
706	624	259
707	625	258
708	626	257
709	626	256
710	627	255
711	628	254
712	628	253
713	629	252
714	630	251
715	630	250
716	631	249
717	632	248
718	632	247
719	633	246
720	634	245
721	635	244
722	636	243
723	637	242
724	637	241
725	638	241
726	639	240
727	640	239
728	640	238
729	641	237
730	642	236
731	642	235
732	643	234
733	644	233
734	644	232
735	645	231
736	646	230
737	646	229
738	647	228
739	648	227
740	648	226
741	649	225
742	650	224
743	650	223
744	651	222
745	651	221
746	652	221
747	653	220
748	653	219
749	654	218
750	655	217
751	655	216
752	656	215
753	657	214
754	657	213
755	658	212
756	659	211
757	659	210
758	660	209
759	661	208
760	661	207
761	663	207
762	663	206
763	664	205
764	665	204
765	665	203
766	666	202
767	666	201
768	667	200
769	668	199
770	668	198
771	669	197
772	670	196
773	670	195
774	671	194
775	672	193
776	672	193
777	673	192
778	673	191
