iter	Passed	Remaining
0	614	614382
1	616	307597
2	619	205930
3	628	156479
4	629	125330
5	631	104539
6	632	89717
7	633	78569
8	634	69903
9	637	63104
10	638	57427
11	644	53066
12	645	49019
13	646	45552
14	647	42551
15	649	39918
16	650	37605
17	651	35546
18	652	33696
19	653	32028
20	654	30521
21	655	29155
22	656	27903
23	658	26796
24	661	25787
25	663	24867
26	665	23966
27	666	23146
28	667	22359
29	669	21642
30	670	20971
31	673	20365
32	674	19764
33	675	19193
34	676	18653
35	677	18152
36	678	17671
37	679	17213
38	681	16785
39	686	16465
40	695	16261
41	697	15907
42	705	15710
43	708	15384
44	709	15053
45	710	14733
46	711	14424
47	712	14126
48	713	13842
49	714	13568
50	715	13310
51	716	13057
52	717	12814
53	719	12609
54	720	12387
55	722	12180
56	724	11992
57	726	11794
58	727	11602
59	728	11416
60	729	11235
61	731	11060
62	732	10893
63	736	10773
64	737	10615
65	739	10458
66	740	10304
67	741	10159
68	742	10015
69	743	9877
70	744	9739
71	745	9606
72	746	9481
73	749	9383
74	751	9265
75	754	9167
76	755	9056
77	756	8947
78	758	8841
79	759	8733
80	760	8627
81	763	8544
82	763	8439
83	765	8342
84	768	8275
85	770	8185
86	771	8093
87	773	8014
88	774	7926
89	775	7839
90	776	7755
91	777	7676
92	780	7610
93	781	7530
94	782	7451
95	783	7374
96	783	7297
97	785	7225
98	786	7154
99	787	7083
100	787	7013
101	788	6945
102	789	6878
103	791	6814
104	792	6757
105	795	6709
106	796	6649
107	798	6592
108	799	6533
109	800	6477
110	801	6419
111	802	6362
112	803	6309
113	805	6257
114	806	6205
115	807	6157
116	809	6105
117	812	6073
118	813	6022
119	814	5972
120	815	5922
121	815	5872
122	816	5823
123	817	5776
124	818	5730
125	820	5688
126	821	5644
127	822	5601
128	823	5557
129	827	5535
130	828	5496
131	829	5454
132	830	5412
133	831	5372
134	832	5332
135	833	5292
136	834	5253
137	834	5215
138	835	5176
139	836	5139
140	837	5102
141	838	5064
142	840	5035
143	841	5001
144	842	4969
